Work Item Type,Title,Title 2,Title 3,Title 4,Description,Priority,Assigned To,Iteration Path,Tags,Story Points,Remaining Work,Area Path,Business Value,Risk
Task,,,,Task-1222: Appointments task 2,Implement part 2 for Appointments 2,1,rkjausra@example.com,eShopOnWeb-4mScratchIteration 3,API,,6,eShopOnWeb-4mScratch\EShop-Web,80,Medium
Bug,,,Bug-121: Appointments defect,,Defect found in Feature-12: Appointments,1,rkj@example.com,eShopOnWeb-4mScratchIteration 3,UI/UX,,12,eShopOnWeb-4mScratch\EShop-Web,40,Medium
Bug,,,Bug-122: Appointments defect,,Defect found in Feature-12: Appointments,1,rkjdusrd@example.com,eShopOnWeb-4mScratchIteration 1,Database,,6,eShopOnWeb-4mScratch\EShop-Web,40,Medium
Feature,,Feature-13: Teleconsultation,,,Feature under Healthcare Portal,3,rkjbusrb@example.com,eShopOnWeb-4mScratchIteration 3,Backend,,,eShopOnWeb-4mScratch\EShop-Web,10,Medium
Product Backlog Item,,,PBI-131: Teleconsultation story 1,,As a user I need Teleconsultation 1,4,rkjcusrc@example.com,eShopOnWeb-4mScratchIteration 2,DevOps,5,,eShopOnWeb-4mScratch\EShop-Web,50,High
Task,,,,Task-1311: Teleconsultation task 1,Implement part 1 for Teleconsultation 1,1,rkjdusrd@example.com,eShopOnWeb-4mScratchIteration 2,Testing,,4,eShopOnWeb-4mScratch\EShop-Web,10,Medium
Task,,,,Task-1312: Teleconsultation task 2,Implement part 2 for Teleconsultation 1,3,rkjausra@example.com,eShopOnWeb-4mScratchIteration 2,Backend,,2,eShopOnWeb-4mScratch\EShop-Web,20,Medium
Product Backlog Item,,,PBI-132: Teleconsultation story 2,,As a user I need Teleconsultation 2,2,rkj@example.com,eShopOnWeb-4mScratchIteration 3,Frontend,8,,eShopOnWeb-4mScratch\EShop-Web,30,Low
Task,,,,Task-1321: Teleconsultation task 1,Implement part 1 for Teleconsultation 2,1,rkjausra@example.com,eShopOnWeb-4mScratchIteration 2,Backend,,4,eShopOnWeb-4mScratch\EShop-Web,50,Low
Task,,,,Task-1322: Teleconsultation task 2,Implement part 2 for Teleconsultation 2,2,rkjdusrd@example.com,eShopOnWeb-4mScratchIteration 1,Backend,,8,eShopOnWeb-4mScratch\EShop-Web,50,Medium
Bug,,,Bug-131: Teleconsultation defect,,Defect found in Feature-13: Teleconsultation,1,rkjbusrb@example.com,eShopOnWeb-4mScratchIteration 2,Backend,,6,eShopOnWeb-4mScratch\EShop-Web,10,High
Bug,,,Bug-132: Teleconsultation defect,,Defect found in Feature-13: Teleconsultation,1,rkjausra@example.com,eShopOnWeb-4mScratchIteration 1,Database,,4,eShopOnWeb-4mScratch\EShop-Web,100,High
Bug,,,Bug-133: Teleconsultation defect,,Defect found in Feature-13: Teleconsultation,4,rkjbusrb@example.com,eShopOnWeb-4mScratchIteration 3,Backend,,6,eShopOnWeb-4mScratch\EShop-Web,20,Medium
Epic,Banking Suite,,,,Top-level initiative,2,rkjdusrd@example.com,eShopOnWeb-4mScratchIteration 3,Security,,,eShopOnWeb-4mScratch\EShop-Web,10,High
Feature,,Feature-21: Accounts,,,Feature under Banking Suite,4,rkjcusrc@example.com,eShopOnWeb-4mScratchIteration 1,Testing,,,eShopOnWeb-4mScratch\EShop-Web,10,Medium
Product Backlog Item,,,PBI-211: Accounts story 1,,As a user I need Accounts 1,3,rkj@example.com,eShopOnWeb-4mScratchIteration 3,Database,13,,eShopOnWeb-4mScratch\EShop-Web,20,Low
Task,,,,Task-2111: Accounts task 1,Implement part 1 for Accounts 1,3,rkjausra@example.com,eShopOnWeb-4mScratchIteration 1,Database,,6,eShopOnWeb-4mScratch\EShop-Web,20,Medium
Task,,,,Task-2112: Accounts task 2,Implement part 2 for Accounts 1,1,rkjbusrb@example.com,eShopOnWeb-4mScratchIteration 2,Database,,2,eShopOnWeb-4mScratch\EShop-Web,10,High
Product Backlog Item,,,PBI-212: Accounts story 2,,As a user I need Accounts 2,1,rkjcusrc@example.com,eShopOnWeb-4mScratchIteration 3,Backend,5,,eShopOnWeb-4mScratch\EShop-Web,80,Low
Task,,,,Task-2121: Accounts task 1,Implement part 1 for Accounts 2,3,rkj@example.com,eShopOnWeb-4mScratchIteration 2,Backend,,8,eShopOnWeb-4mScratch\EShop-Web,50,High
Task,,,,Task-2122: Accounts task 2,Implement part 2 for Accounts 2,1,rkjdusrd@example.com,eShopOnWeb-4mScratchIteration 3,Database,,2,eShopOnWeb-4mScratch\EShop-Web,30,Low
Bug,,,Bug-211: Accounts defect,,Defect found in Feature-21: Accounts,3,rkjbusrb@example.com,eShopOnWeb-4mScratchIteration 1,DevOps,,4,eShopOnWeb-4mScratch\EShop-Web,80,Medium
Bug,,,Bug-212: Accounts defect,,Defect found in Feature-21: Accounts,1,rkj@example.com,eShopOnWeb-4mScratchIteration 3,Frontend,,8,eShopOnWeb-4mScratch\EShop-Web,20,Low
Feature,,Feature-22: Transfers,,,Feature under Banking Suite,1,rkj@example.com,eShopOnWeb-4mScratchIteration 2,API,,,eShopOnWeb-4mScratch\EShop-Web,100,Low
Product Backlog Item,,,PBI-221: Transfers story 1,,As a user I need Transfers 1,1,rkjausra@example.com,eShopOnWeb-4mScratchIteration 1,Backend,13,,eShopOnWeb-4mScratch\EShop-Web,20,Medium
Task,,,,Task-2211: Transfers task 1,Implement part 1 for Transfers 1,2,rkjcusrc@example.com,eShopOnWeb-4mScratchIteration 2,Backend,,2,eShopOnWeb-4mScratch\EShop-Web,80,Medium
Task,,,,Task-2212: Transfers task 2,Implement part 2 for Transfers 1,1,rkjausra@example.com,eShopOnWeb-4mScratchIteration 1,UI/UX,,4,eShopOnWeb-4mScratch\EShop-Web,50,Medium
Product Backlog Item,,,PBI-222: Transfers story 2,,As a user I need Transfers 2,4,rkjcusrc@example.com,eShopOnWeb-4mScratchIteration 3,API,1,,eShopOnWeb-4mScratch\EShop-Web,40,High
Task,,,,Task-2221: Transfers task 1,Implement part 1 for Transfers 2,1,rkjbusrb@example.com,eShopOnWeb-4mScratchIteration 3,Frontend,,12,eShopOnWeb-4mScratch\EShop-Web,20,High
Task,,,,Task-2222: Transfers task 2,Implement part 2 for Transfers 2,3,rkjcusrc@example.com,eShopOnWeb-4mScratchIteration 2,UI/UX,,4,eShopOnWeb-4mScratch\EShop-Web,30,High
Bug,,,Bug-221: Transfers defect,,Defect found in Feature-22: Transfers,1,rkjbusrb@example.com,eShopOnWeb-4mScratchIteration 3,Security,,2,eShopOnWeb-4mScratch\EShop-Web,20,High
Bug,,,Bug-222: Transfers defect,,Defect found in Feature-22: Transfers,1,rkj@example.com,eShopOnWeb-4mScratchIteration 1,Frontend,,8,eShopOnWeb-4mScratch\EShop-Web,20,High
Bug,,,Bug-223: Transfers defect,,Defect found in Feature-22: Transfers,2,rkjbusrb@example.com,eShopOnWeb-4mScratchIteration 1,UI/UX,,6,eShopOnWeb-4mScratch\EShop-Web,100,High
Feature,,Feature-23: Loans,,,Feature under Banking Suite,1,rkjcusrc@example.com,eShopOnWeb-4mScratchIteration 3,Security,,,eShopOnWeb-4mScratch\EShop-Web,20,Low
Product Backlog Item,,,PBI-231: Loans story 1,,As a user I need Loans 1,3,rkjbusrb@example.com,eShopOnWeb-4mScratchIteration 2,Frontend,1,,eShopOnWeb-4mScratch\EShop-Web,100,Medium
Task,,,,Task-2311: Loans task 1,Implement part 1 for Loans 1,2,rkjdusrd@example.com,eShopOnWeb-4mScratchIteration 2,Frontend,,8,eShopOnWeb-4mScratch\EShop-Web,100,Medium
Task,,,,Task-2312: Loans task 2,Implement part 2 for Loans 1,2,rkjbusrb@example.com,eShopOnWeb-4mScratchIteration 1,Frontend,,6,eShopOnWeb-4mScratch\EShop-Web,10,Medium
Product Backlog Item,,,PBI-232: Loans story 2,,As a user I need Loans 2,4,rkjcusrc@example.com,eShopOnWeb-4mScratchIteration 3,Frontend,2,,eShopOnWeb-4mScratch\EShop-Web,50,Medium
Task,,,,Task-2321: Loans task 1,Implement part 1 for Loans 2,2,rkjcusrc@example.com,eShopOnWeb-4mScratchIteration 1,Testing,,8,eShopOnWeb-4mScratch\EShop-Web,20,High
Task,,,,Task-2322: Loans task 2,Implement part 2 for Loans 2,1,rkjbusrb@example.com,eShopOnWeb-4mScratchIteration 2,UI/UX,,12,eShopOnWeb-4mScratch\EShop-Web,40,Low
Bug,,,Bug-231: Loans defect,,Defect found in Feature-23: Loans,2,rkjdusrd@example.com,eShopOnWeb-4mScratchIteration 1,Testing,,6,eShopOnWeb-4mScratch\EShop-Web,50,Medium
Bug,,,Bug-232: Loans defect,,Defect found in Feature-23: Loans,2,rkjdusrd@example.com,eShopOnWeb-4mScratchIteration 2,Database,,8,eShopOnWeb-4mScratch\EShop-Web,30,Medium
